code,branch
SBIN0020191,ATMAKUR
SBIN0020192,KODANGAL
SBIN0020193,BADEPALLY
SBIN0020194,KALWAKURTI
SBIN0020195,KOLLAPUR
SBIN0020196,KOSIGI
SBIN0020197,MAKTHAL
SBIN0020198,NAGARKURNOOL
SBIN0020199,SHADNAGAR
SBIN0020200,UTKUR
SBIN0020201,MADANAPURAM
SBIN0020202,J C RD
SBIN0020203,RAICHUR MAIN
SBIN0020204,GANGAVATHI
SBIN0020205,KARATGI
SBIN0020206,KOPPAL
SBIN0020207,SINDHANOOR
SBIN0020208,DEODURG
SBIN0020209,KOWTAL
SBIN0020210,KUSHTGI
SBIN0020211,LINGSUGUR
SBIN0020212,MANVI
SBIN0020213,YELBURGA
SBIN0020214,KANAKAGIRI
SBIN0020215,ANEGUNDI
SBIN0020216,BALGANUR
SBIN0020217,GUNJAHALLI
SBIN0020218,TAVARAGERE
SBIN0020219,HANAMSAGAR
SBIN0020220,KINNAL
SBIN0020221,ALWANDI
SBIN0020222,KUKNOOR
SBIN0020223,GULBARGA SUPER MARKET
SBIN0020224,GULBARGA NEHRUGUNJ
SBIN0020225,YADAGIRI
SBIN0020226,ALAND
SBIN0020227,CHITAPUR
SBIN0020228,SHAHABAD
SBIN0020229,SHORAPUR MAIN
SBIN0020230,SHAHAPUR
SBIN0020231,AFZALPUR
SBIN0020232,CHINCHOLI
SBIN0020233,GURUMITKAL
SBIN0020234,JEWARAGI
SBIN0020235,SEDAM
SBIN0020236,WADI
SBIN0020237,BIDAR
SBIN0020238,BASAVAKALYAN
SBIN0020239,HUMNABAD
SBIN0020240,AURAD
SBIN0020241,BHALKI
SBIN0020242,II LINE BEACH CHENNAI
SBIN0020243,THOUSAND LIGHTS
SBIN0020244,HIMMATNAGAR
SBIN0020245,IDPL COLONY
SBIN0020246,THORRUR
SBIN0020247,NELAKONDAPALLE
SBIN0020248,SURYAPET ADB
SBIN0020249,SAIDAPUR
SBIN0020250,BIDAR ADB
SBIN0020251,NALWAR
SBIN0020252,MYLALPORE CHENNAI
SBIN0020253,PARBHANI ADB
SBIN0020254,NANDED ADB
SBIN0020255,NAIGAON
SBIN0020256,NEW BHOIGUDA
SBIN0020257,DEVARA KADRA
SBIN0020258,KAMALNAGAR
SBIN0020259,REJESWAR
SBIN0020260,CHAKUR
SBIN0020261,KURKUNTA
SBIN0020262,KAKATIYA UNIVERSITY
SBIN0020263,ADARSHNAGAR
SBIN0020264,RAIKAL
SBIN0020265,AURAD SHAHJANI
SBIN0020266,DHOKI ADB
SBIN0020267,MAHBUBNAGAR ADB
SBIN0020268,MORTAD
SBIN0020269,DILSUKNAGAR
SBIN0020270,DEVAL GANAGAPUR
SBIN0020271,SHANKARAMPET
SBIN0020272,LANSDOWNE KOLKATA
SBIN0020273,BRABOURNE RD
SBIN0020274,MEDAK ADB
