code,branch
SBIN0020816,BAGALKOT
SBIN0020817,RAJKOT
SBIN0020818,SURAT BR
SBIN0020819,PRAKASAM BAZAAR
SBIN0020820,PUTTAPARTHI
SBIN0020821,RAVULAPALEM
SBIN0020822,WEST MALKAJGIRI BR
SBIN0020823,SSI BRANCH LUDHIANA
SBIN0020824,HUBLI
SBIN0020825,SHIRDI
SBIN0020826,NASIK
SBIN0020827,AGRA
SBIN0020828,COMMERCIAL BRANCH
SBIN0020829,GURGAON
SBIN0020830,WALUJ MIDC
SBIN0020831,DAMMAPET
SBIN0020832,OAD RO DELHI
SBIN0020833,PARKSTREET KOLKATA
SBIN0020834,ANAPARTHI
SBIN0020835,INDIRANAGAR
SBIN0020836,THIRUMALAGIRI
SBIN0020837,SUBEDARI
SBIN0020838,KRISHNA NAGAR
SBIN0020839,VIKAS MARG
SBIN0020840,FARIDABAD
SBIN0020841,NOIDA
SBIN0020842,P SB INDIRANAGAR
SBIN0020843,MADURAI
SBIN0020844,PUNE KONDWA
SBIN0020845,HASSAN
SBIN0020846,DAVANGERE
SBIN0020847,TANGUTURU
SBIN0020848,UPPAL BR
SBIN0020849,BASWESHAR NAGAR
SBIN0020850,ASHRAM ROAD
SBIN0020851,BASVANGUDI
SBIN0020852,AIRPORT ROAD
SBIN0020853,PRABHADEVI
SBIN0020854,BUCHIREDDYPALEM
SBIN0020855,GWALIOR
SBIN0020856,PVN COLONY
SBIN0020857,JALANDHAR
SBIN0020858,HINDUPUR
SBIN0020859,VIJAYANAGAR
SBIN0020860,KOTA
SBIN0020861,VISHAKHAPATNAM SALIGRAMAPURAM
SBIN0020862,SAGAR NAGAR
SBIN0020863,PANIPAT
SBIN0020864,SAROORNAGAR HYDERABAD
SBIN0020865,THANE
SBIN0020866,ROTARY NAGAR
SBIN0020867,SERVICE BRANCH
SBIN0020868,SHIVNAGAR
SBIN0020869,KALBADEVI
SBIN0020870,GUNTAKAL
SBIN0020871,MSR NAGAR
SBIN0020872,DR B R AMBEDKAR OPEN UNIVERSITY BR
SBIN0020873,ARSAPALLY NIZAMABAD
SBIN0020874,MEERUT
SBIN0020875,MALLESHWARAM
SBIN0020876,CHAITANYAPURI HYDERABAD
SBIN0020877,PANCHKULA
SBIN0020878,VISHAKHAPATNAM LAWSON S BAY COLONY
SBIN0020879,VISHAKHAPATNAM P AND SB BRANCH
SBIN0020880,HI TECH CITY BR
SBIN0020881,VINAYAK NAGAR
SBIN0020882,SERVICE BR
SBIN0020883,TIRUPATI
SBIN0020884,VAVILALAPALLY
SBIN0020885,AUSA ROAD
SBIN0020886,MGM HOSPITAL
SBIN0020887,RAMPUR
SBIN0020888,NEW PANVEL
SBIN0020889,TILAK ROAD
SBIN0020890,RAICHUR APMC
SBIN0020891,ICSA COMPLEX
SBIN0020892,VALMIKINAGAR CHENNAI
SBIN0020893,ASHOK NAGAR
SBIN0020894,RAJARAM NAGAR ARMOOR
SBIN0020895,RAMAKRISHNA PURAM
SBIN0020896,A P HIGH COURT BR
SBIN0020897,DARGAMITTA
SBIN0020898,RAMANTHAPUR HYDERABAD
SBIN0020899,VIJAYAWADA MOGALRAJAPURAM
SBIN0020900,VISHAKHAPATNAM SRIHARIPURAM
SBIN0020901,MADANAPALLE
SBIN0020902,DHARMAVARAM
SBIN0020903,KASIBUGGA WARANGAL
SBIN0020904,GADAG
SBIN0020905,POST OFFICE BRANCH
SBIN0020906,MARATHWADA
SBIN0020907,BHOOPALPALLY
SBIN0020908,JANNARAM
SBIN0020909,KALYANKHANI
SBIN0020910,SRIRAMPUR
SBIN0020911,MUDHOL
SBIN0020912,ACC MANCHERIAL
SBIN0020913,KAZIPET
SBIN0020914,VISHAKHAPATNAM NTPC DEEPANJALI NAGA
SBIN0020915,AIR CARGO COMPLEX
SBIN0020916,TREASURY BRANCH HYDERABAD
SBIN0020917,SME BRANCH MANCHIRIAL
SBIN0020918,KAROLBAGH
SBIN0020919,SRISAILAM
SBIN0020920,METTUGADDA
SBIN0020921,JADCHERLA
SBIN0020922,TIRUMALA
SBIN0020923,P AND SB NASPUR
SBIN0020924,BORIVALI
SBIN0020925,SME BRANCH KHAMMAM
SBIN0020926,SVIMS TIRUPATHI
SBIN0020929,P AND S BRANCH KHAMMAM
SBIN0020930,CITY CIVIL COURT BR
SBIN0020931,SRI BALAJI TEXTILE MARKET BR
SBIN0020932,SME BRANCH
SBIN0020933,ASHOK NAGAR P AND SB HYDERABAD
SBIN0020934,PORUR
SBIN0020935,OAD RO CHENNAI
SBIN0020936,VIJAYAWADA CIVIL COURTS BRANCH
SBIN0020937,RD BATLLION KAKINADA
SBIN0020938,SIL PALONCHA
SBIN0020939,SERVICE BR
SBIN0020940,BANJARA HILLS P AND SB HYDERABAD
SBIN0020941,SALEM
SBIN0020942,RUDRAMPUR
SBIN0020943,COURT COMPLEX
SBIN0020944,JAWAHARNAGAR
SBIN0020945,ASSET RECOVERY BRANCH
SBIN0020946,VELACHERRY
SBIN0020947,AMC KHAMMAM
SBIN0020948,RTC BUS STAND CUDDAPAH
SBIN0020949,RAJAMPET
SBIN0020950,TREASURY KHAMMAM
SBIN0020951,COLLECTORATE COMPLEX
SBIN0020952,MAITHRI WOMEN S COLLEGE
SBIN0020953,ASWARAOPET
SBIN0020954,PO ITDA BHADRACHALAM
SBIN0020955,CHINMAYA VIDYALAYA
SBIN0020956,GODAVARIKHANI
SBIN0020957,GODAVARIKHANI
SBIN0020958,TEXTILE MILLS
SBIN0020959,GODAVARIKHANI
SBIN0020960,HEAVY WATER PLANT
SBIN0020961,PRAGATIBHAVAN
SBIN0020962,SRTR MEDICAL COLLEGE
SBIN0020963,VISHAKHAPATNAM P M PALEM
SBIN0020964,VISHAKHAPATNAM DIST COURT COMPLEX
SBIN0020965,NIRD RAJENDRA NAGAR
SBIN0020966,SHANKARPALLY
SBIN0020967,METROPOLITAN CRIMINAL COURTS BR
SBIN0020968,TREASURY BRANCH
SBIN0020969,P N PUDUR
SBIN0020970,DWARAKA
SBIN0020973,BUDHWARPET NIRMAL
SBIN0020974,ZILLA PARISHAD
SBIN0020975,M G CLOTH MARKET
SBIN0020977,MUNICIPAL COMPLEX
SBIN0020979,JP NAGAR
SBIN0020980,PADMAVATHI CENTRE
SBIN0020981,WEST MARREDPALLY
SBIN0020982,RAICHUR ROAD
SBIN0020983,PEBBERU
SBIN0020984,ALLUR
SBIN0020985,KHARGHAR
SBIN0020987,RAJAURI GARDEN
SBIN0020989,KALLUR
SBIN0020990,INDUSTRIAL MODEL TOWN
SBIN0020992,RAM NAGAR
SBIN0020993,MARKET COMPLEX KOYAMBEDU
SBIN0020994,RACPC HYDERABAD
SBIN0020995,KRISHNA NAGAR
SBIN0020996,GANGASTHAN
SBIN0020997,HIGH COURT
SBIN0020998,YERRAGUNTLA
SBIN0020999,BIBWEWADI
SBIN0021000,INTERNATIONAL SERVICES BR
SBIN0021001,HRBR LAYOUT
SBIN0021002,KOTAGUMMAM
SBIN0021003,GOKULDHAM GORE GAON E
SBIN0021004,P AND SB KG MARG
SBIN0021005,PARVATHIPURAM
SBIN0021006,RAYAVARAM
SBIN0021007,NARASANNAPET
SBIN0021008,JNTU CAMPUS BRANCH
SBIN0021009,JILLELA GUDA
SBIN0021018,RASMECCC WARANGAL
SBIN0021022,WEST TAMBARAM CHENNAI
SBIN0021023,NIZAMPET HYDERABAD
SBIN0021024,TFCPC HYDERABAD
SBIN0021025,MONDHA BEED
SBIN0021026,D S S BHAVAN HYDERABAD
SBIN0021027,VIDUTH SOUDHA HYDERABAD
SBIN0021029,MANDAPETA
SBIN0021030,AKKAYYAPALEM
SBIN0021031,DUBBAPALLY
SBIN0021032,KRISHNALANKA
SBIN0021033,MARATHAHALLI
SBIN0021034,POWER GRID CAMPUS
SBIN0021035,GOLETI
SBIN0021036,PANDHARPUR
SBIN0021037,INCOMETAXCOLONY
SBIN0021038,COLLECTORATECOMPLEX
SBIN0021039,SRIKALAHASTHICHITTOOR
SBIN0021040,NAIDUPET
SBIN0021041,ADITYANAGAR
SBIN0021042,HB COLONY
